x;phylum;Kingdom;notes
1;Acanthocephala;Animalia;accepted
2;Acidobacteria;Bacteria;accepted
3;Acritarcha;;Protozoa incertae sedis
4;Actinobacteria;Bacteria;accepted
5;Amoebozoa;Protozoa;accepted
6;Annelida;Animalia;accepted
;Apusozoa;Protozoa;accepted
7;Aquificae;Bacteria;accepted
8;Arthropoda;Animalia;accepted
9;Ascomycota;Fungi;accepted
10;Bacillariophyta;Chromista;accepted
11;Bacteria incertae sedis;;Bacteria incertae sedis
12;Bacteroidetes;Bacteria;accepted
13;Basidiomycota;Fungi;accepted
14;Bigyra;Chromista;accepted
15;Brachiopoda;Animalia;accepted
16;Bryophyta;Plantae;accepted
17;Bryozoa;Animalia;accepted
18;Cercozoa;Chromista;accepted
19;Chaetognatha;Animalia;accepted
20;Charophyta;Plantae;accepted
21;Charophyta;;duplicate
22;Chlamydiae;;unaccepted
23;Chlorarachniophyta;;unaccepted
24;Chlorobi;Bacteria;accepted
25;Chloroflexi;Bacteria;accepted
26;Chlorophyta;Plantae;accepted
27;Choanozoa;Protozoa;accepted
28;Chordata;Animalia;accepted
;Chromeridophyta;Chromista;accepted
29;Chrysomonada;;unaccepted
30;Chrysophyta;;unaccepted
;Chytridiomycota;Fungi;accepted
31;Ciliophora;Chromista;accepted
32;Cnidaria;Animalia;accepted
33;Coelenterata;;unaccepted
34;Craspedophyta;;unaccepted
35;Craspedophyta;;duplicate
36;Crenarchaeota;Archea;accepted
37;Cryptophyta;Chromista;accepted
38;Ctenophora;Animalia;accepted
39;Cyanobacteria;Bacteria;accepted
40;Cyanophyta;;Bacteria incertae sedis
41;Cycliophora;Animalia;accepted
;Deferribacteres;Bacteria;accepted
42;Deinococcus-Thermus;Bacteria;accepted
43;Dicyemida;Animalia;accepted
44;Dinomastigota;;unaccepted
45;Dinophyta;;unaccepted
46;Discomitochondria;;unaccepted
47;Echinodermata;Animalia;accepted
48;Ectoprocta;Animalia;accepted
;Elusimicrobia;Bacteria;no_species
49;Entoprocta;Animalia;accepted
50;Euglenophyta;;unaccepted
51;Euglenozoa;Protozoa;accepted
52;Euryarchaeota;Archea;accepted
53;Fibrobacteres;;Bacteria incertae sedis
54;Firmicutes;Bacteria;accepted
55;Flagellates;;unaccepted
56;Foraminifera;Chromista;accepted
57;Fusobacteria;Bacteria;accepted
58;Gastrotricha;Animalia;accepted
59;Gemmatimonadetes;;Bacteria incertae sedis
;Glaucophyta;Plantae;no_species
60;Gnathostomulida;Animalia;accepted
61;Haptophyta;Chromista;accepted
62;Heliozoa;Chromista;accepted
63;Hemichordata;Animalia;accepted
;Hemimastigophora;Protozoa;no_species
64;Heterokontophyta;Chromista;accepted
65;Kinorhyncha;Animalia;accepted
66;Lentisphaerae;Bacteria;accepted
67;Loricifera;Animalia;accepted
68;Loukozoa;Protozoa;accepted
69;Metamonada;Protozoa;accepted
70;Microsporidia;Fungi;accepted
71;Mollusca;Animalia;accepted
72;Myzozoa;Chromista;accepted
;Nanoarchaeota;Archea;accepted
73;Nemata;;unaccepted
74;Nematoda;Animalia;accepted
75;Nematomorpha;Animalia;accepted
76;Nemertea;Animalia;accepted
77;Nemertina;;unaccepted
78;Nitrospirae;Bacteria;accepted
79;Ochrophyta;Chromista;accepted
80;Oomycota;Chromista;accepted
;Orthonectida;Animalia;accepted
81;Percolozoa;Protozoa;accepted
82;Phaeophyta;;unaccepted
83;Phoronida;Animalia;accepted
84;Picozoa;Plantae;accepted
;Placozoa;Animalia;accepted
85;Planctomycetes;Bacteria;accepted
;Planctomycetota;Bacteria;accepted
86;Plantae incertae sedis;;Plantae incertae sedis
87;Platyhelminthes;Animalia;accepted
88;Pogonophora;;unaccepted
89;Porifera;Animalia;accepted
90;Prasinodermatophyta;Plantae;accepted
91;Priapulida;Animalia;accepted
92;Proteobacteria;Bacteria;accepted
93;Radiozoa;Chromista;accepted
94;Rhizopoda;;unaccepted
;Rhodelphidia;Plantae;no_species
95;Rhodophycota;;unaccepted
96;Rhodophyta;Plantae;accepted
97;Rotifera;Animalia;accepted
98;Sarcomastigophora;;unaccepted
99;Sipunculida;;unaccepted
100;Spirochaetes;Bacteria;accepted
101;Spironematellophyta;;non-marine
102;Sulcozoa;Protozoa;accepted
103;Synergistetes;Bacteria;accepted
104;Tardigrada;Animalia;accepted
105;Tenericutes;Bacteria;accepted
;Thaumarchaeota;Archea;accepted
;Thermodesulfobacteria;Bacteria;accepted
106;Thermotogae;Bacteria;accepted
107;Tracheophyta;Plantae;accepted
108;Verrucomicrobia;Bacteria;accepted
109;Xanthophyta;;unaccepted
110;Xenacoelomorpha;Animalia;accepted
111;Zygomycota;Fungi;accepted
