"Acanthocephala","Acidobacteria","Actinobacteria","Amoebozoa","Apusozoa","Aquificae","Ascomycota","Bacillariophyta","Bacteroidetes","Basidiomycota","Bigyra","Brachiopoda","Bryophyta","Bryozoa","Cercozoa","Chaetognatha","Charophyta","Chlorobi","Chloroflexi","Chlorophyta","Choanozoa","Chromeridophyta","Chytridiomycota","Ciliophora","Cnidaria","Crenarchaeota","Cryptophyta","Ctenophora","Cyanobacteria","Cycliophora","Deferribacteres","Deinococcus-Thermus","Dicyemida","Echinodermata","Ectoprocta","Entoprocta","Euglenozoa","Euryarchaeota","Firmicutes","Fusobacteria","Gastrotricha","Gnathostomulida","Haptophyta","Heliozoa","Hemichordata","Kinorhyncha","Lentisphaerae","Loricifera","Loukozoa","Metamonada","Microsporidia","Nanoarchaeota","Nematoda","Nematomorpha","Nemertea","Nitrospirae","Ochrophyta","Oomycota","Orthonectida","Percolozoa","Phoronida","Picozoa","Placozoa","Planctomycetes","Planctomycetota","Platyhelminthes","Porifera","Prasinodermatophyta","Priapulida","Proteobacteria","Radiozoa","Rhodophyta","Rotifera","Spirochaetes","Sulcozoa","Synergistetes","Tardigrada","Tenericutes","Thaumarchaeota","Thermodesulfobacteria","Thermotogae","Tracheophyta","Verrucomicrobia","Xenacoelomorpha","Zygomycota"
"Adriatic Sea","100%","100%","68%","68%","100%","100%","100%","100%","68%","100%","100%","100%","100%","100%","58%","100%","100%","100%","100%","57%","100%","100%","100%","100%","49%","100%","58%","50%","100%","100%","100%","100%","100%","57%","100%","100%","89%","100%","68%","68%","100%","100%","58%","100%","100%","58%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","58%","100%","100%","100%","100%","100%","100%","100%","100%","100%","67%","100%","100%","68%","100%","100%","100%","68%","100%","100%","100%","68%","100%","100%","100%","100%","100%","100%","100%"
"Aegean-Levantine Sea","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","55%","100%","100%","100%","100%","100%","54%","100%","100%","100%","100%","23%","100%","100%","23%","100%","100%","100%","100%","100%","54%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","55%","100%","100%","100%","100%","100%","100%","100%","100%","100%","55%","58%","100%","100%","100%","54%","100%","100%","100%","100%","100%","100%","100%","100%","100%","56%","100%","100%","100%"
"Arctic Ocean","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%"
"Azores","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%"
"Baltic Sea","84%","100%","100%","36%","100%","100%","100%","89%","100%","100%","44%","100%","27%","21%","15%","63%","19%","100%","100%","8%","21%","100%","100%","8%","21%","100%","13%","25%","8%","100%","100%","100%","100%","23%","100%","52%","12%","100%","100%","100%","100%","100%","18%","100%","82%","100%","100%","100%","100%","100%","100%","100%","80%","89%","19%","100%","7%","100%","100%","100%","24%","100%","100%","100%","100%","25%","23%","100%","17%","46%","100%","23%","20%","100%","100%","100%","100%","100%","100%","100%","100%","23%","100%","100%","100%"
"Barents Sea","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","67%","56%","100%","100%","100%","100%","100%","100%","100%","100%","66%","100%","100%","100%","100%","100%","100%","100%","100%","83%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","95%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","95%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%"
"Bay of Biscay and the Iberian Coast","100%","100%","100%","100%","100%","100%","34%","34%","100%","100%","100%","100%","100%","33%","50%","52%","52%","100%","100%","27%","100%","100%","100%","33%","24%","100%","83%","100%","50%","100%","100%","100%","100%","26%","100%","100%","50%","100%","100%","100%","100%","100%","50%","100%","100%","100%","100%","100%","100%","100%","100%","100%","83%","100%","31%","100%","27%","100%","100%","100%","33%","100%","100%","100%","100%","34%","34%","100%","79%","100%","100%","27%","100%","100%","100%","100%","100%","100%","100%","100%","100%","33%","100%","100%","100%"
"Black Sea","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","58%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","89%","100%","100%","100%","100%","100%","89%","100%","100%","100%","100%","89%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%"
"Celtic Seas","100%","100%","100%","100%","100%","100%","58%","58%","100%","100%","100%","100%","100%","55%","100%","37%","68%","100%","100%","53%","100%","100%","100%","33%","17%","100%","68%","27%","68%","100%","100%","100%","100%","18%","100%","68%","50%","100%","100%","100%","100%","100%","89%","100%","84%","100%","100%","100%","100%","100%","100%","100%","84%","100%","33%","100%","30%","100%","100%","100%","42%","100%","100%","100%","100%","52%","31%","100%","37%","100%","100%","29%","100%","100%","100%","100%","100%","100%","100%","100%","100%","55%","100%","100%","95%"
"Faroes","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%"
